Make,Model,Injury.Severity,Event.Date,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Broad.phase.of.flight,Weather.Condition
Stinson,108-3,Fatal(2),1948-10-24,1.0,2.0,0.0,0.0,0.0,Cruise,UNK
Piper,PA24-180,Fatal(4),1962-07-19,1.0,4.0,0.0,0.0,0.0,Unknown,UNK
Cessna,172M,Fatal(3),1974-08-30,1.0,3.0,0.0,0.0,1.0,Cruise,IMC
Rockwell,112,Fatal(2),1977-06-19,1.0,2.0,0.0,0.0,0.0,Cruise,IMC
Cessna,501,Fatal(1),1979-08-02,1.0,1.0,2.0,0.0,0.0,Approach,VMC
Mcdonnell Douglas,DC9,Non-Fatal,1979-09-17,2.0,0.0,0.0,1.0,44.0,Climb,VMC
Cessna,180,Fatal(4),1981-08-01,1.0,4.0,0.0,0.0,0.0,Unknown,IMC
Cessna,140,Non-Fatal,1982-01-01,1.0,0.0,0.0,0.0,2.0,Takeoff,VMC
Cessna,401B,Non-Fatal,1982-01-01,2.0,0.0,0.0,0.0,2.0,Landing,IMC
North American,NAVION L-17B,Non-Fatal,1982-01-01,1.0,0.0,0.0,3.0,0.0,Cruise,IMC
Piper,PA-28-161,Non-Fatal,1982-01-01,1.0,0.0,0.0,0.0,1.0,Approach,VMC
Beech,V35B,Non-Fatal,1982-01-01,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Bellanca,17-30A,Non-Fatal,1982-01-02,1.0,0.0,0.0,1.0,0.0,Cruise,IMC
Cessna,R172K,Fatal(1),1982-01-02,1.0,1.0,0.0,0.0,0.0,Takeoff,IMC
Navion,A,Fatal(1),1982-01-02,1.0,1.0,0.0,0.0,0.0,Cruise,IMC
Beech,19,Fatal(2),1982-01-02,1.0,2.0,0.0,0.0,0.0,Cruise,IMC
Enstrom,280C,Non-Fatal,1982-01-02,1.0,0.0,0.0,0.0,1.0,Taxi,IMC
Cessna,180,Fatal(3),1982-01-02,1.0,3.0,0.0,0.0,0.0,Unknown,VMC
Cessna,172,Non-Fatal,1982-01-02,1.0,0.0,0.0,0.0,1.0,Taxi,VMC
Smith,WCS-222 (BELL 47G),Non-Fatal,1982-01-02,1.0,0.0,0.0,0.0,2.0,Cruise,VMC
Cessna,152,Non-Fatal,1982-01-02,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Cessna,150L,Non-Fatal,1982-01-02,1.0,0.0,0.0,0.0,2.0,Approach,VMC
Bell,206L-1,Non-Fatal,1982-01-02,1.0,0.0,0.0,0.0,1.0,Approach,VMC
Piper,PA-24-180,Incident,1982-01-03,1.0,0.0,0.0,0.0,1.0,Approach,VMC
Grumman,AA-5B,Fatal(2),1982-01-03,1.0,2.0,1.0,0.0,0.0,Descent,IMC
Cessna,414A,Fatal(8),1982-01-03,2.0,8.0,0.0,0.0,0.0,Approach,IMC
Beechcraft,BE-58,Fatal(1),1982-01-03,2.0,1.0,0.0,0.0,0.0,Approach,IMC
Maule,M-5-235C,Non-Fatal,1982-01-03,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,210L,Non-Fatal,1982-01-03,1.0,0.0,0.0,1.0,1.0,Descent,VMC
Bellanca,7GCBC,Non-Fatal,1982-01-03,1.0,0.0,0.0,2.0,0.0,Maneuvering,VMC
Cessna,182,Non-Fatal,1982-01-03,1.0,0.0,0.0,2.0,0.0,Approach,VMC
Air Tractor,AT-301,Non-Fatal,1982-01-03,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Piper,PA-28-161,Fatal(4),1982-01-04,1.0,4.0,0.0,0.0,0.0,Cruise,VMC
Piper,PA-34-200T,Fatal(2),1982-01-04,2.0,2.0,0.0,0.0,0.0,Cruise,VMC
Cessna,T337G,Fatal(2),1982-01-04,2.0,2.0,2.0,0.0,0.0,Cruise,IMC
Piper,PA-28R-200,Non-Fatal,1982-01-04,1.0,0.0,0.0,2.0,0.0,Cruise,VMC
Cessna,206,Fatal(1),1982-01-04,1.0,1.0,0.0,1.0,0.0,Taxi,VMC
Navion,A,Fatal(3),1982-01-05,1.0,3.0,0.0,0.0,0.0,Cruise,IMC
Piper,PA-22,Fatal(1),1982-01-05,1.0,1.0,0.0,0.0,0.0,Cruise,IMC
Piper,PA-31,Fatal(2),1982-01-05,2.0,2.0,0.0,0.0,0.0,Approach,VMC
Rockwell,114,Incident,1982-01-05,1.0,0.0,0.0,0.0,1.0,Cruise,VMC
Piper,PA-24-250,Non-Fatal,1982-01-05,1.0,0.0,1.0,0.0,1.0,Descent,VMC
Piper,PA-28R-200,Non-Fatal,1982-01-05,1.0,0.0,0.0,0.0,1.0,Cruise,VMC
Cessna,TR182,Non-Fatal,1982-01-05,1.0,0.0,0.0,0.0,1.0,Taxi,VMC
Cessna,A185F,Non-Fatal,1982-01-05,1.0,0.0,2.0,0.0,0.0,Takeoff,VMC
Cessna,340,Non-Fatal,1982-01-06,2.0,0.0,0.0,0.0,3.0,Approach,VMC
Aerospatiale,SA-316B,Non-Fatal,1982-01-06,1.0,0.0,0.0,0.0,6.0,Taxi,VMC
Beech,35,Non-Fatal,1982-01-06,1.0,0.0,0.0,0.0,3.0,Climb,VMC
Cessna,152,Non-Fatal,1982-01-06,1.0,0.0,0.0,0.0,2.0,Approach,VMC
Mooney,M-20J,Non-Fatal,1982-01-06,1.0,0.0,0.0,0.0,2.0,Takeoff,VMC
Boeing,A75,Non-Fatal,1982-01-06,1.0,0.0,1.0,0.0,1.0,Cruise,IMC
Cessna,210,Fatal(2),1982-01-07,1.0,2.0,0.0,0.0,0.0,Cruise,VMC
Beech,V35,Non-Fatal,1982-01-07,1.0,0.0,0.0,0.0,1.0,Approach,VMC
Curtis,C46,Non-Fatal,1982-01-07,2.0,0.0,0.0,0.0,3.0,Standing,VMC
Cessna,172M,Fatal(1),1982-01-08,1.0,1.0,0.0,0.0,0.0,Approach,IMC
Piper,PA-28-140,Fatal(1),1982-01-08,1.0,1.0,1.0,0.0,0.0,Approach,VMC
Cessna,TU206G,Non-Fatal,1982-01-08,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Cessna,152,Non-Fatal,1982-01-08,1.0,0.0,0.0,0.0,1.0,Cruise,VMC
Piper,PA-24-250,Non-Fatal,1982-01-08,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,152,Non-Fatal,1982-01-08,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Cessna,172N,Non-Fatal,1982-01-08,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,152,Non-Fatal,1982-01-08,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Schleicher,ASW 20,Non-Fatal,1982-01-09,0.0,0.0,0.0,0.0,1.0,Landing,VMC
Cessna,P210N,Non-Fatal,1982-01-09,1.0,0.0,1.0,0.0,3.0,Landing,VMC
Cessna,172,Non-Fatal,1982-01-09,1.0,0.0,0.0,0.0,2.0,Approach,VMC
Piper,PA-34,Non-Fatal,1982-01-09,2.0,0.0,0.0,0.0,3.0,Taxi,VMC
Cessna,305 (L-19),Non-Fatal,1982-01-09,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,182A,Non-Fatal,1982-01-09,1.0,0.0,0.0,0.0,1.0,Approach,VMC
Piper,PA-23-250,Non-Fatal,1982-01-10,2.0,0.0,2.0,0.0,0.0,Approach,UNK
Cessna,172N,Non-Fatal,1982-01-10,1.0,0.0,0.0,0.0,4.0,Landing,VMC
Piper,23-250,Non-Fatal,1982-01-10,2.0,0.0,0.0,0.0,2.0,Takeoff,IMC
Mooney,M20G,Fatal(1),1982-01-10,1.0,1.0,1.0,0.0,0.0,Cruise,VMC
Cessna,TU206F,Non-Fatal,1982-01-10,1.0,0.0,0.0,4.0,0.0,Landing,VMC
Quickie,1,Non-Fatal,1982-01-10,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Cessna,U206,Non-Fatal,1982-01-10,1.0,0.0,0.0,3.0,0.0,Cruise,VMC
Piper,PA-28-140,Non-Fatal,1982-01-11,1.0,0.0,1.0,1.0,0.0,Cruise,VMC
